Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
No,No,Si,10,Si,10,10,No,10,Si,"Problema risolto, personale gentile e disponibile Molto soddisfatto"
Si,No,Si,9,No,10,10,Si,7,No,"Ho portato l’auto per revisione, convergenza e sistemazione del navigatore che non individua correttamente il luogo dove so trova l’auto (invece di essere a Verona, rileva che siamo in Francia). Quest’ultimo problema non mi è stato risolto, pur lasciando"
No,Si,Si,9,Si,9,8,Si,9,No,Tempi per appuntamento un po’ lunghi
Si,No,No,2,,10,4,No,6,No,CON IL CALL CENTER HO CONCORDATO UN ORARIO PER L'APPUNTAMENTO E SUL MESSAGGINO L'ORARIO ERA STATO ANTICIPATO. HO PROVATO A CHIAMARE MILLE VOLTE MA NON MI HA RISPOSTO NESSUNO....... INOLTRE AVEVO CONCORDATO L'AUTO DI CORTESIA E INVECE QUANDO HO CONSEGNATO
Si,No,No,4,,10,8,Si,6,No,"Macchina al ritiro sporca, ad blue non è stato riempito"
Si,No,No,10,,10,10,Si,10,Si,"La  cortesy  car che ho prenotato e affittato non era proprio messa benissimo,,,, mi aspettavo qualcosa di meglio. Tutto il resto perfetto, Personale garbato ed efficientissimo, sia nell’accoglienza che nella relazione che nell’offerta dei vostri prodotti"
Si,No,No,10,,10,10,Si,10,Si,massimo dei voti dall'accoglienza alla riconsegna della mia Smart
Si,No,No,10,,10,10,Si,10,Si,Nulla
Si,No,No,8,,10,8,Si,10,Si,"Più velocità nel lasciare la macchina e posticipare l orario massimo per il ritiro della vettura, le 16,30 è veramente troppo presto per chi lavora, grazie"
Si,No,No,10,,10,10,Si,10,Si,Ok
No,Si,No,10,,10,10,,10,Si,Accoglienza e velocità molto soddisfacente
Si,No,Si,10,Si,10,10,Si,10,Si,"Voglio menzionare ***, che dall’accoglienza alla disponibilità é stato davvero unico, complimenti a lui"
No,No,Si,2,No,9,9,Si,5,No,Niente da dire sulla cortesia del personale che è stato preciso e cordiale. Sono profondamente delusa dal fatto che il preventivo che mi è stato fatto per la riparazione superava del doppio quello fatto da un altro meccanico (con gli stessi pezzi original
Si,No,No,2,,2,2,No,2,No,Il venditore non ha segnato in tempo di vendita i 4 anni di tagliandi e estensione garanzia mi sono trovato con il tagliando da effettuare è venuto a sapere della scadenza del pacchetto tagliandi solo effettuando lo stesso( scadenza il 7 settembre effettu
Si,No,No,10,,10,10,Si,10,Si,"Nessun suggerimento particolare,grazie"
No,Si,No,8,,4,5,,7,No,Officina e ricambi auto ECCELLENTE Customer Service OTTIMO Accoglienza OTTIMO Area Commerciale SUFFICIENTE
Si,No,No,9,,10,9,Si,9,Si,"C'è  stato un'errore della centralinista sulla data del tagliando, praticamente non ha segnalato l'appuntamento all'officina."
Si,Si,No,10,,10,9,Si,10,Si,Mi ha seguito ***. Professionale e corretta
No,No,Si,9,Si,9,9,Si,9,Si,"AUTOTORINO a *** ha un servizio post vendita perfetto. Il Signor *** che ci assiste per manutenzioni e interventi sia soli Mini che BMW é molto professionale, cortese, disponibile."
Si,No,No,10,,10,9,Si,10,Si,Tutto molto bene
Si,No,No,8,,5,8,Si,10,No,2 volta che il lavoro preventivato non è stato finito. Spiace ma non sufficente
No,Si,No,10,,10,10,,10,Si,"Personale serio, qualificato e disponibile. Consigliato"
Si,No,No,10,,10,10,Si,10,Si,Ho sempre ricevuto un buon servizio.
No,No,Si,9,No,9,9,Si,10,No,*** è bravissima. Professionale e gentile. Solo grazie al suo lavoro la mia situazione è stata risolta.
Si,No,No,8,,8,10,Si,4,No,"Agganciato tramite offerta ricevuta via e-mail , accettato prezzo proposto ma una volta arrivato x l appuntamento mi sento dire che le mail che arrivano propongono prezzi errati ed i costi invece x gli stessi servizi sono altri . Deluso e perplesso"
Si,No,No,10,,10,10,Si,10,Si,Sono soddisfatto
Si,No,No,10,,10,10,Si,10,Si,"Gentile e disponibile, oltre che molto competente il sig.***"
No,No,Si,4,No,7,3,No,2,No,"Ho acquistato la mia auto a gennaio 2025, appena uscita dalla concessionaria si é verificato il problema, che ho subito segnalato. Nonostante questo il primo appuntamento disponibile é stato fissato il 26/3, dicendomi che la macchina mi sarebbe stata rest"
Si,Si,No,9,,9,9,Si,9,Si,Personale molto cordiale e professionale
Si,No,No,8,,10,10,Si,4,No,"Inviterei a verificare meglio gli importi delle fatture. Per spiegarmi meglio io avevo avuto un preventivo di spesa di euro 620 e al momento del ritiro invece mi hanno sottoposto un conto di euro 740… Per il resto nulla da dire, personale gentile e disp"
No,Si,Si,10,Si,10,10,Si,10,Si,Tutto perfetto 🔝
Si,No,No,9,,9,9,No,9,No,"Non posso dare 10 perché quando ho comprato l'auto nel contratto ho acquistato un kit di ruote invernali che non mi è stato ancora consegnato; tenendo conto che ho fatto il contratto di acquisto un anno fa, la vettura l'ho ritirata 9 mesi fa, ho già passa"
No,No,Si,10,Si,10,10,Si,10,Si,"Ottimo servizio, efficiente e professionale."
Si,No,No,10,,10,10,Si,10,Si,BRAVI ed EDUCATI.
No,Si,No,10,Si,10,10,No,10,Si,Stò aspettando ancora l'email con i lavori eseguiti sulla mia GLA
Si,No,No,9,,9,3,Si,3,No,Migliorate la trasparenza con il cliente Questa volta sul servizio di tagliando l unica preoccupazione era  che si firmasse il contratto di estensione batterie Senza ascoltare minimamente quanto necessitava e quanto era gia stato indicato nell appuntamen
No,No,Si,9,Si,10,10,Si,10,Si,Del lavoro del PERITO sono assolutamente soddisfatta. VOTO 10. E' la 2' volta che rispondo allo stesso questionario per lo stesso motivo. Ma il 1' questionario che vi ho mandato che fine ha fatto ? Non lo avete ricevuto ? perche'? forse c'è qualcosa che n
Si,No,No,10,,10,10,Si,10,Si,Niente da rilevare .tutto bene
Si,No,No,10,,10,10,Si,10,Si,"Complimenti a ***: tra tanti (tutti) uomini, fa la differenza !"
Si,No,No,10,,10,10,No,6,Si,Sono in attesa della fattura dei lavori svolti perché nella giornata del tagliando c’erano problemi con il gestionale. Resto in attesa *** Grazie
Si,No,No,9,,9,9,Si,9,No,N
No,No,Si,10,No,10,10,No,10,Si,Lavoro perfetto nei tempi da quando hanno ricevuto i pezzi di ricambio
Si,No,No,9,,10,9,No,9,No,"L’impiegata *** davvero gentilissima, mi ha spiegato tutto nel dettaglio."
No,No,Si,10,Si,10,10,Si,10,Si,Ottimo servizio grazie a *** e *** per la cortesia e disponibilità data
No,No,Si,10,Si,10,10,Si,10,Si,tutto ok
Si,No,No,10,,10,10,Si,10,Si,Eseguito collaudo biennale.
Si,No,No,7,,9,9,Si,9,No,"Secondo me prendete troppe macchine al giorno e la mia, ad esempio, è stata presa in mano la sera altrimenti la avreste restituita in un giorno. Forse non c'è spazio per il minimo intoppo. Inoltre dovrò riportarla per una manutenzione straordinaria che, e"
No,Si,No,10,,10,7,,10,Si,"Trattandosi di richiamo per sostituzione airbag, mi sarei aspettato una minore attesa nel fissare la giornata dell'intervento, ma non è dipeso da Autotorino Pordenone. Segnalo inoltre che nella lettera ufficiale ricevuta da BMW erano indicati dettagli, ad"
Si,No,No,4,,8,10,Si,4,No,Ho fatto Tagliando da Autotorino solo perche ho la sicurazione.Pero sono rimasta delusa per i costi altissimi e un anno subito dopo acquisto chiedevo per liquido di raffreddamento che quolcosa che non va bene si sente odore.Risposta e una cosa normale. So
Si,No,No,10,,10,10,Si,10,-,Perfetto tutto come sempre Grazie a *** molto bravo e competente Molto contento grazie ancora
No,Si,No,10,,10,10,,10,Si,*** all' accettazione È stato veramente gentilissimo e disponibile. Bravo!!!!!
Si,No,No,10,,10,10,No,10,Si,Perfetto il servizio e il lavoro svolto
Si,No,No,10,,2,10,Si,10,Si,Il sig *** si è dimostrato gentile professionale e preparato all’accoglienza
Si,No,No,9,,9,5,Si,9,Si,Organizzare meglio la consegna e il ritiro dell’auto Vieni fatto accomodare e nessuno più ti chiama tutti quelli che arrivano ti passano davanti e si piazzano direttamente davanti all’operatore che non si preoccupa di sapere che c è gente per lui in attes
