Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Opinione Miglioramento Servizio
6,9,6,5,"Il venditore è stato educato, ma per tutto quello che riguarda la prevendita è stato un disastro e in fase di ritiro peggio consegna in 2 minuti e senza nessuna spiegazione ( mi sto leggendo il libretto istruzioni ) anche la documentazione era inesistente"
10,10,10,10,"nulla da migliorare. In Autotorino ho trovato professionalità, competenza e cortesia"
8,9,8,8,MAGGIORE CHIAREZZA SUL PREZZO FINALE DEL VEICOLO. MAGGIORE CHIAREZZA SULLE CARATTERISTICHE TECNICHE DEL VEICOLO CONSEGNATO E DEI SUOI ACCESSORI.
10,10,10,9,"La qualità della preparazione estetica dell auto poteva essere migliore intendo lucidatura (i residui di pasta nei punti più inaccessibili sono da principianti) Gli interni potevano essere puliti con più cura, ma in questo forse sono io molto esigente"
7,9,10,10,"Ricordate di fare le convergenze ed assetti sulle auto usata a cui cambiate i pneumatici. Ricordate di onorare i venditori con esperienza, quelli giovani sono arroganti e presuntuosi, e mascherano anche l evidenza di alcuni ripristini usati mal eseguiti."
10,10,10,10,Niente siete perfetti
10,10,10,9,All'atto dell'acquisto avvisare il cliente che ci voglio almeno 15/20 giorni per la consegna dell'auto.
10,10,10,10,"Non saprei , secondo me è tutto perfetto così"
9,9,9,9,Bravissimo
6,7,8,6,"Come ho avuto modo di segnalare al personale che mi ha spiegato i dettagli tecnici dell auto in fase di consegna, ritengo non ammissibile che un auto venga consegnata sporca, in particolare le parti interne laterali in plastica sporche di terra. ***"
10,9,9,10,Direi che avete molto poco da migliorare
9,9,9,9,"Beh, oggettivamente direi che mi va bene così siete stati abbastanza professionali tutti mi hai soprattutto ringrazio anche *** che nel diretto interessato che mi ha aiutato a comprare macchina"
10,9,10,10,Nella documentazione che mi avete spedito risultate un po'troppo formalisti.
10,10,10,10,per me è tutto ok
9,9,9,9,Poter provare le auto e uscire dall'esposizione . Ovviamente con il venditore a fianco . Se l'avessi provato sicuramente avrei optato per un Glc anziché GLB.Amo i Suv. Comunque sono soddisfatta. Grazie
10,10,10,10,Tutto perfetto
10,10,10,10,I tempi..in resto molto sudusfata di come sono stata accompagnata dal inizio fino al ricevimento della machina..GRAZIE MILLE *** ai fatto  un servizio meraviglioso..molto disponibile..molto chiaro ed molto presente..grazie AUTOTORINO SUSEGANA per bella a
10,10,10,10,Niente
9,9,9,9,Non saprei
5,7,2,8,L'invio della macchina dato che lo pagata da più di un mese
4,9,9,2,"Dare risposte reali, e non vaghe, soprattutto se un cliente chiama per una consegna non dire non lo so, non dipende da me, oppure mi informo e la richiamo e poi non richiamare, ma farsi richiamare dopo un giorno e dare le solite risposte. Ho fatto il cont"
9,9,9,9,"Ho acquistato una BMW x1 msport con 22 mila chilometri venerdì 12 settembre, mi avevano garantito di aver fatto il tagliando, sabato 20 mi si è accesa la spia della riserva dell’ADBlue . Non mi sembra corretto consegnare una macchina pagata 47 mila euro i"
3,8,2,8,"Sicuramente, la professionalità, la competenza, la disponibilità, la preparazione, ecc. del venditore"
10,10,10,10,"Ritengo che il personale sia il punto di forza di Autotorino: preparato, professionale, competente, cordiale, empatico. Davvero complimenti!!"
10,10,10,10,Meglio di così mi sembra impossibile
10,10,10,10,Servizio perfetto
9,10,10,10,"Mantenete questo standard, e tutti saranno contenti e felici."
9,9,9,2,Garantire i tempi di consegna
10,10,10,10,Direi che essendo soddisfatto non saprei cosa migliorare
10,10,10,10,"tutto perfetto, cordialità e professionalità e una gentilezza e cortesia mai viste prima."
9,10,10,10,Va benissimo così
10,10,10,10,"A me è sembrato tutto a posto,cortesia,rispetto dei tempi,spiegazioni"
1,1,1,9,"La consegna più celere dell'autovettura e soprattutto mantenere le promesse, non comprerò più una macchina dal vs gruppo e neanche lo consiglierò"
2,10,9,2,"Per iniziare potreste far rispettare i tempi di consegna, far sapere quando viene approvato il finanziamento e soprattutto prestare più attenzione quando i clienti segnalano dei problemi alle macchine"
10,10,10,10,Grazie mille per ottimo servizio
10,10,10,10,Più chiarezza della provenienza delle vetture aziendali o le varie societa di noleggio quale è passata l'autovettura
10,10,10,10,Nulla
10,10,10,2,Niente va tutto bene
10,10,10,10,Velocizzare leggermente le parti burocratiche: quasi un mese di attesa avendo le idee chiare e bloccando subito la vettura scelta che già si trovava in un'officina vicina forse è un po' tanto.
10,10,10,10,Nulla siete perfetti.
9,9,10,10,Offerta finanziaria non vantaggiosa se raffrontata a quella del normale circuito bancario
10,10,10,10,Tutto bene
5,5,4,4,"Voglio parlare con il responsabile dell'usato, perché ho dei problemi, Mi è stato detto che la macchina fosse in garanzia ufficiale Kia poi dopo il ritiro ho scoperto che non era così e adesso sto avendo tanti problemi. Voglio parlare con il responsabile"
10,10,10,10,"Riconosco grande disponibilità e attenzione da parte del consulente ***, che mi ha seguito nell'acquisto, anche nel risolvere un problema dovuto ad una incomprensione sui tempi di consegna. Complimenti al team vendita."
10,9,10,10,nessun suggerimento
10,10,10,10,Il servizio mi sembra sufficientemente soddisfacente
8,10,8,9,"Sono ben consapevole di aver acquistato  una GLC del 2021 con 60.000 km, quindi usata anche se teoricamente ancora valida. Ma ho dato per scontato che mi sarebbero stati descritti tutti i segni di usura ( sedile guida fianco consumato inspiegabilmente vis"
10,9,9,10,Non saprei
8,9,9,9,Forse dare più spazio alla descrizione delle garanzie.
10,10,10,10,Nulla
8,9,8,8,"consiglierei una migliore informazione sui reali optionals presenti sulla vettura. Nonostante durante l'acquisto abbiamo evidenziato l'uso di navigatori google e wize,non ci è stato detto nulla dal veditore che la macchina acquistata era sprovvista di car"
10,10,10,10,"*** è un ottimo venditore, premuroso e risolutivo sopratutto per una persona pignola ed esigente come me! È riuscito al primo colpo a far centro riuscendo a trovarmi l’auto con tutti i dettagli richiesti Bravo *** Ti consiglierò anche ai"
10,10,10,10,Dovreste igienizzare le auto usate prima della consegna. Ho dovuto portare l'auto presso officina specializzata per la sanificazione degli interni: costo 150 euro.
10,10,10,10,Trovo tutto perfetto....
10,10,10,10,"Sono stata seguita da *** e da ***. Sono entrambi perfetti, splendidi, prenderò anche la terza auto da voi."
9,9,9,10,Niente. Tutto bene
10,10,10,10,Nulla
2,9,2,2,"1) prima di consegnare l’auto  dovete verificare che vengano eseguiti i lavori pattuiti con il venditore., io oggi ho ritirato l’auto con un danno alla carrozzeria che il venditore mi aveva detto che avreste sistemato prima di consegnare 2) se il venditor"
10,10,10,10,Nulla
9,10,10,10,"Esiste sempre un margine di miglioramento, nel mio caso ho notato un miglioramento sulla cortesia e disponibilità del v/s venditore rispetto a quello offertomi un paio di anni fa’ sul precedente acquisto."
10,10,10,10,"Buongiorno vista la mia esperienza con il commerciale e amministrazione tutto bene da 10 , ma da parte del personale dell' officina c'è qualcosa da migliorare."
10,10,10,10,Soddisfatto
5,9,9,5,La valutazione della permuta deve essere  effettuata prima dell’acquisto del nuovo veicolo in quanto devo sapere quanto vale il mio veicolo prima di decidere se acquistare quello nuovo. Inoltredovete rivedere le informazioni che date in fase di acquisto i
10,10,10,10,Non cambiate
9,9,9,8,Ho atteso più di 30gg per ricevere l’appuntamento di ritiro a *** perché il motociclo si trovava nella sede di ***. Trovo limitante non avere un’alternativa al servizio di trasporto esterno.
10,10,10,10,Nessun suggerimento.
9,7,10,8,Iter burocratico dall'acquisto alla consegna. Una nota di merito va sicuramente al venditore ***.
9,10,10,9,"Il servizio fornito da *** e *** per la vendita e delivery sono stati eccellenti, 10/10. Non sono soddisfatto dei servizi di manutenzione. Ho acquistato l'auto a ***, già alla consegna il faro anabbagliante e la retromarcia erano bruciate. Ho chi"
10,10,10,10,Andate bene cosi!
10,10,10,9,"Le tempistiche in genere, i tempi di attesa sono stati un po' lunghi,ma è anche vero che il periodo di agosto non aiuta."
10,10,10,10,Tutto perfetto
10,10,10,10,Nulla il servizio è già eccellente .
9,10,10,10,Non saprei
10,10,10,10,"Nulla, va bene così come siete"
10,10,10,10,È tutto perfetto. Complimenti
10,10,10,10,"Servizio ottimo, soprattutto per la cortesia e disponibilità degli agenti alla vendita."
3,9,4,4,I tempi di consegna nel periodo ..fine luglio agosto sono lunghissimi..A questo punto consiglierei di chiudere nel periodo ferie
10,10,10,10,Siete stati tutti fantastici soprattutto *** che mi ha venduto l’autovettura e *** *** che si è occupata delle pratiche burocratiche. DIECI CON LODE A TUTTI E DUE
9,9,9,9,Nulla. Mi sono trovata bene
2,4,2,2,"Quando si acquista un’auto che sia nuova o usata, bisognerebbe essere più chiari possibili , evitare di non farsi sentire per discutere dei bisogni dell’acquirente, evitare di dire bugie sui finanziamenti per poi avere la sorpresa quando ti entra la prima"
9,10,10,9,purtroppo penso che sarà l'ultima vettura che acquisto data l'età.
10,10,10,10,Sodistato Personale qualificato e gentili.  Grazie
9,10,9,5,"Buongiorno, al momento dell’acquisto mi era stato detto che la macchina era stata lucidata; tuttavia, appena ritirata, ho notato tre bolli sul cofano, probabilmente causati da sassolini, dei quali non ero a conoscenza e che il venditore non aveva menziona"
9,8,4,4,La tempistica di consegna
10,10,10,10,Velocizzare trasferimento auto tra filiali
10,10,10,10,Va bene così.
10,10,10,10,ok
9,9,9,9,Siccome sto aspettando la mia moto usata aquistata da voi e non ancora consegnata aspetterei che la cosegna sia effettuata e poi posso dare un giudizio. Mi apello anch per la futura revisione della moto e spero che entrambe le parti possano essere soddisf
10,10,10,10,"Ho avuto una buona esperienza,personale gentile e disponibile e molto professionale in più la professionalità di *** *** che mia trovato la macchina che volevo grazie mille per tutto anche ha segnora ***."
1,9,1,1,"Ho ritirato classe A circa una settimana fa,auto di fine 2023 auto fresca ma consapevole che è usata,prima di saldare autovettura visionata e indicato vari difetti il venditore gentile ha assicurato di sistemare tutte le cose palesemente evidenti ma una v"
9,10,10,10,Sarebbe meglio consegnare la vettura acquistata con almeno 1litro di benzina o gasolio…. Sempre con la spia riserva accesa…. Non è bello
9,9,9,9,piu' solleciti  per la consegna
10,10,10,10,Servizio impeccabile
10,10,10,10,Niente da migliorare
10,10,10,10,"Per me nulla, devo fare i complimenti a *** per la professionalità e cortesia dimostrata, ringrazio *** per la perfetta spiegazione dei vari comandi dell’auto, spero che l’usato acquistato sia sicuro ed affidabile come tutte le altre Mercedes acquis"
9,10,10,8,Maggiore pulizia interna della vettura usata prima della consegna
1,10,10,9,"L'unico motivo per cui ho finito di acquistare la macchina è stata la cortesia di ***. La macchina era a Bergamo, ci ha messo due mesi per arrivare, non erano stati fatti i lavori necessari. Adesso la macchina ha già un problema di spia del mo"
10,10,10,10,Siete il Top!
9,9,10,10,MIGLIORE VALUTAZIONE USATO
10,10,10,10,Non ho suggerimenti.
10,10,10,10,Buongiorno secondo me è tutto perfetto molto professionale
10,10,10,10,Tutto perfetto Bravo ***
9,9,9,8,"La vettura è stata consegnata con la batteria scarica un errore centralina e senza AD blue nel serbatoio e il parabrezza scheggiato, hanno ripristinato subito il livello additivo e cancellato l'errore; dopo 2 giorni sono rimasto a piedi per la batteria gu"
10,10,10,10,"Dopo due esperienze positive, una a Cremona e l'altra a Roma, direi che al momento l'affidabilità è notevole. Sarebbe un ottimo obiettivo continuare su questa linea per fidelizzare ancor più il cliente, magari con iniziative particolari dedicate. Saluti"
9,10,9,10,Ottima esperienza per la concessionaria Autotorino di Reggio Emilia che mi ha supportato nell’acquisto dell’auto. Il vostro collaboratore *** veramente competente e di grande aiuto. Non troppo contento con l’esperienza avuta con la concessionaria
9,9,9,9,Dedicare più tempo a persone sopra i 50 anni.
10,10,10,10,ringrazio *** per essere stato super efficiente è chiaro nella spiegazione.
7,5,9,3,"Come sempre le persone fanno la differenza. 10 piu’ al venditore ***, 10 al venditore Autotorino filiale di Tavagnacco *** . Del resto salvo molto poco."
10,10,10,10,Tutto ok molto efficienti e disponibili
10,10,10,10,Il servizio è impeccabile
10,10,10,10,Nulla
10,10,10,10,Super soddisfatta
9,9,9,5,L’approccio con il cliente all’inizio non è ottimale un po’ presuntuoso e distaccato
1,7,1,1,Cambiare i venditori di tavernola ho comprato una macchina veramente pessima sono delusa e arrabbiata
10,10,10,10,Niente
9,10,10,10,Molto professionali e cortesi Sig.*** e *** consegna auto. Non posso dire lo stesso di una sig.ra che mi ha risposto in modo arrogante e presuntuoso ad una richiesta legittima e non impossibile. Purtroppo non ricordo il nome....ne av
10,10,10,10,Continuate così... Complimenti
10,10,10,10,Tempi di consegna
10,10,10,10,Al momento ho trovato il servizio efficiente
9,10,10,10,Niente
4,9,5,4,Va migliorato il processo di handover attività da venditore al team per la gestione della consegna dell’auto.
2,9,9,2,"Consegna auto PESSIMA, graffi , funzioni nn funzionanti, modifiche concordate non effettuate"
2,10,2,2,Comincerei col far frequentare dei corsi di comunicazione e buona educazione al personale. Proseguirei con l’adozione di un codice di comportamento ispirato a valori etici e di buone pratiche commerciali. Continuerei con la messa in opera di sistemi di co
10,10,10,9,Non c'è niente da migliorare
9,9,9,1,Il personale dell’officina e gli addetti al lavaggio sono da licenziare in tronco lavorano con i piedi. 35 k di macchina consegnata sporca e graffiata
10,10,10,10,No
10,10,10,10,Nulla....professionalità al personale ma in particolare a ***
9,10,10,5,"Ritirato la auto ala filiale di ***, dentro la machina non era pulita , peli di animale da per tutto, e polvere , la concessionaria ha fatto il tagliando al olio del cambio nel giorno di ritiro avuto ancora problemi con il cambio, ho chiesto di stampa"
9,10,9,9,"Meno fretta, più tempo da dedicare ai clienti soprattutto se grandi x spiegare meglio novità tecnologiche."
10,10,10,10,Niente è tutto apposto 💯
10,10,10,10,Impeccabili. Un ringraziamento speciale al venditore *** per avermi seguita con precisione e tempestività durante tutta la fase di acquisto.
9,10,9,9,velocità di consegna
10,10,10,10,Non consigliere nulla  perché  è tutto  ok
9,9,9,9,Posso solo fare i complimenti…..
10,10,10,10,Nulla grazie
6,9,9,4,La direzione
10,10,10,10,Tutto ok
7,9,6,3,Essere più sinceri con le persone che si apprestano a comprare da voi portando denaro pulito.
10,10,10,10,Le tempistiche di consegna
9,9,9,9,Va bene così
5,9,7,3,"Migliorare i servizi di consegna dell auto con i tempi, spiegazione più approfondita , e anche la consegna di oggetti che erano mancanti in auto in tempo minore.in attesa della vostra collaborazione. Cordiali saluti."
9,8,4,3,Il personale comportarsi più generosamente dalla mia esperienza risale poco gentile
9,9,9,9,"Secondo la mia esperienza, potreste migliorare l’ ottimo servizio che offrite, riducendo i tempi di consegna delle auto"
10,10,10,10,e' gia'perfetto
10,10,10,10,Niente
3,8,3,8,Rispettando i tempi di consegna pattuiti dai vostri consulenti e spiegando in fase di consegna le varie funzionalità dell'auto
10,10,10,10,"Nel complesso soddisfatto dell’auto acquistata e della professionalità del venditore, sempre disponibile e attento nel seguire la pratica. Un aspetto che, a mio avviso, andrebbe migliorato riguarda però i tempi di consegna: per un’auto usata quasi 60 gior"
10,10,9,10,Tutto perfetto
9,9,9,9,Mi sn trovata bene niente siete stati gentilissimi grz
2,9,2,2,Controlare meglio le vetture e scrivere giusto le opzione
10,10,10,10,"È andato tutto a posto con il personale dell’Autotorino ***, dall’inizio alla fine me hanno aiutato e sono soddisfatto con *** e i suoi colleghi."
10,10,10,10,Ho aspettato la mia jeep 2mesi e mezzo Un po' più presto per la consegna sarebbe meglio
9,9,9,5,"Disponibilità con i clienti, respirare tempo di consegna,"
9,10,10,9,L’ibrido non funziona. Autonomia reale di 22 km ( contro 50 dichiarati) che si consumano in un percorso di 18 km!
9,10,9,8,Valutate voi
10,10,10,10,Autotorino di ***...TOP!Bravo ***
1,2,1,1,"Tutto. Come prima cosa il rispetto della parola data, come seconda cosa siete molto desiderosi di ricevere i soldi in anticipo per poi però decidere voi a che ora io devo venire a ritirare la vettura pronta per la consegna con un mese di ritardo, e per di"
1,9,1,1,"Che dire. Ho dato una caparra per un’auto autocarro a inizio maggio, non ho ancora ricevuto la macchina. Inizialmente data consegna fine maggio mai rispettata e un susseguirsi di informazioni errate, mancanti e non corrette. Non so ancora quando avrò la"
10,10,10,10,C’è una machina bellissima grazie
10,10,10,10,Velocità di trasporto
6,9,6,9,"In riferimento alla consegna della mia auto, premesso che è la prima occasione che compro auto usata, avevamo concordato certo solo verbalmente e non per iscritto il ripristino completo dei problemi evidenziati nell'auto nel corso della nostra visita a Pa"
1,1,1,1,TUTTO
10,10,10,10,Gestione della vendita al Top! Nulla da migliorare...
10,9,10,10,Nulla
10,10,10,10,Aprire una filiale in toscana
10,10,10,10,"È andato tutto molto bene, non dovete migliorare niente!"
9,9,9,8,Molte cose andrebbero migliorare vista l'importanza della concessionaria... Venditore *** TOP (mi ha fatto comprare due auto contemporaneamente e non me le ha regalate...) ma il resto non è livello dell'importanza del gruppo.
9,10,10,10,Potete migliorare la consegna più veloce non si può aspettare un mese x consegnare una vettura veramente troppo oltre che alla consegna era sporca sul celetto interno  il personale molto carino e preciso e molto disponibile ma la consegna veramente eccess
10,10,10,10,"Non c’è nulla da segnalare, servizio totalmente ottimo"
10,10,10,10,Esperienza positiva per ora nulla da migliorare
10,10,10,10,"Siete molto bravi e gentili , continuate così che tornerò presto Cordiali saluti *** lol"
9,9,9,9,Tutto perfetto
10,9,9,9,Disdetta automatica del pacchetto manutenzione. A carico Autotorino Renderebbe tutto più semplice. Grazie
4,3,5,2,Rivalutare quadro dirigente che gestisce concessionaria.
10,10,10,10,Niente....tutto ok
2,4,3,2,Valutazione dell'usato prima della conclusione del contratto di compravendita.
10,10,10,10,Non ho suggerimenti per migliorare oltre l’ottimo servizio
10,10,10,10,"NOTE: Accoglienza,professionalità ed esposizione dei dettagli da parte di *** sono stati ""determinanti"" nella decisione di acquisto della GLC. Ottima disponibilità da receptionist e personale addetto alle varie funzioni durante le mie visite"
9,9,9,9,La consegna è stata parecchio lunga
10,10,10,10,"Nulla,siete perfetti 🫶"
9,9,9,10,Mi sono trovato bene
10,10,10,10,Nulla
10,10,10,9,"Anche se consapevole che per motivi professionali,dividete le varie mansioni, secondo me,sarebbe meglio interagire con un unica persona dal acquisto alla consegna, ovviamente questa è un opinione personale. Sono stata molto soddisfatta della professionali"
9,10,9,8,Per quanto riguarda chi prepara le vetture per la consegna di controllare meglio tutto della macchina; soprattutto il motore. Perché a me è capitato che dopo solo 4 giorni mi uscisse una spia dell’acqua con scritto rischio rottura morire ed era per il li
